countryCode;gdpGrowth
ABW;1,999999104
AFE;-2,949406721
AFG;-2,351100673
AFW;-0,884980919
AGO;-5,39998739
ALB;-3,955397927
AND;-11,95269325
ARB;-5,35450221
ARE;-6,134500803
ARG;-9,895268964
ARM;-7,4
ASM;3,921568627
ATG;-20,19237057
AUS;-0,003836559
AUT;-6,734514076
AZE;-4,3
BDI;0,297577119
BEL;-5,65965987
BEN;3,8487924
BFA;1,93032489
BGD;3,509135882
BGR;-4,387149834
BHR;-5,085180213
BHS;-14,5144814
BIH;-3,196950134
BLR;-0,9
BLZ;-14,01053215
BMU;-6,344080246
BOL;-8,82949362
BRA;-4,059048273
BRB;-18,9795097
BRN;1,133573351
BTN;-10,07634112
BWA;-8,492893511
CAF;0,829010003
CAN;-5,312944743
CEB;-3,813338243
CHE;-2,392826042
CHI;5,898329661
CHL;-5,771501669
CHN;2,347513573
CIV;1,958332479
CMR;0,491914742
COD;1,735422764
COG;-7,944445679
COL;-6,795758107
COM;-0,128835488
CPV;-14,78340501
CRI;-4,063676535
CSS;-8,161304989
CUB;-10,94834097
CUW;-18,4
CYM;-6,730287428
CYP;-5,2289881
CZE;-5,793571284
DEU;-4,569616717
DJI;0,5
DMA;-16,60491154
DNK;-2,062124959
DOM;-6,720239373
DZA;-5,1
EAP;1,37857513
EAR;-4,505560993
EAS;-0,133318687
ECA;-1,543960022
ECS;-5,622597922
ECU;-7,750123377
EGY;3,569669475
EMU;-6,395558657
ERI;8,679800101
ESP;-10,82288649
EST;-2,951069313
ETH;6,056617792
EUU;-5,95671784
FCS;-4,74739784
FIN;-2,870690593
FJI;-15,71180398
FRA;-7,855256037
FRO;FRO
FSM;-1,765415152
GAB;-1,83776093
GBR;-9,693816671
GEO;-6,760439817
GHA;0,414443458
GIB;GIB
GIN;6,988559971
GMB;-0,215576043
GNB;-2,399999999
GNQ;-4,893356474
GRC;-9,019129085
GRD;-13,70773068
GRL;1,67877331
GTM;-1,519328029
GUM;-11,85001769
GUY;43,47955594
HIC;-4,60126668
HKG;-6,081467784
HND;-8,964760184
HPC;0,37596441
HRV;-8,099761252
HTI;-3,343372612
HUN;-4,675686993
IBD;-1,501036995
IBT;-1,402624543
IDA;-0,11233045
IDB;-1,320759928
IDN;-2,069543499
IDX;1,007159938
IMN;0,25486132
IND;-7,251754782
INX;INX
IRL;5,866975509
IRN;3,388261665
IRQ;-15,67309279
ISL;-6,50391225
ISR;-2,153428489
ITA;-8,9385925
JAM;-10
JOR;-1,551384466
JPN;-4,585508281
KAZ;-2,5
KEN;-0,316182729
KGZ;-8,616551031
KHM;-3,147589098
KIR;-1,947556647
KNA;-14,39999655
KOR;-0,852031429
KWT;-8,685261653
LAC;-6,78442876
LAO;0,50303183
LBN;-21,46426628
LBR;-2,982916281
LBY;-31,30000005
LCA;-20,37364179
LCN;-6,722427286
LDC;0,682575687
LIC;0,613176249
LIE;-1,15748292
LKA;-3,569076137
LMC;-3,415832133
LMY;-1,35238878
LSO;-9,614037019
LTE;0,154468773
LTU;-0,132431461
LUX;-1,776240229
LVA;-3,618565992
MAC;-54,01140215
MAF;MAF
MAR;-6,29325316
MCO;7,5
MDA;-6,969047157
MDG;-7,140611591
MDV;-33,4999021
MEA;-4,007670518
MEX;-8,309034659
MHL;-2,207605402
MIC;-1,379661305
MKD;-5,208444057
MLI;-1,235450447
MLT;-7,001129615
MMR;3,1737744
MNA;-3,487914766
MNE;-15,30689376
MNG;-4,557751973
MNP;-11,14258735
MOZ;-1,233905711
MRT;-1,763321794
MUS;-14,89468757
MWI;0,799998331
MYS;-5,646944836
NAC;-3,77318135
NAM;-8,500149038
NCL;2,100108827
NER;3,580006403
